Collaborate,coef,t-value
SHN,-0.03204782591322558,-1.0668996180570591
SLE,-0.4708614398524989,-0.841035647693016
SLV,-0.1451840753095417,-0.8775247722963029
SOM,-0.07492046159671586,-0.7597133181717918
SUR,0.09912627148362142,1.1261162612270033
SVN,2.263582028128479,1.7669602492773677
SWE,9.69131452927649,4.320558825099584
SXM,-0.12425221555781293,-1.0594658124838958
SYC,0.08299079267764656,0.7760170249345172
SYR,0.7290917098806499,2.1799784864434186
TCA,0.03773128776826509,0.18574465409021212
TGO,0.08629427391251183,0.9964117461807364
THA,4.91901285532006,2.7416750279100253
TKL,-0.014082094416564805,-1.0833844320057424
TLS,-0.02954929447611364,-0.9880349381373741
TON,-0.04772506096536454,-0.8025069404586805
TTO,1.11311949118351,1.8694427973113905
TUN,0.5046246592172735,0.9495448159565908
TUR,1.3644208242547546,1.1946318910421585
TUV,-0.08115173138893848,-1.2766278808728952
TWN,3.7780297310996946,2.528774572594361
TZA,0.15264382220803432,1.2785405341219198
UKR,3.4290945212462485,2.274836273340056
URY,2.122844240976598,2.351460944552844
USA,32.136098616631294,8.428332572483129
VCT,-0.08358220519748978,-1.3095941293692044
VEN,1.7935073752707273,1.8456060567392385
VGB,1.0828176355961705,2.6693546393151784
VIR,0.1876047225690296,1.232102954628676
VNM,-1.1071003818784317,-1.7620986391471767
VUT,-0.027244282303038565,-0.40970058268766996
WLF,-0.0022604696227345807,-0.5829608436179495
WSM,-0.02158081671110313,-0.16541252394233236
YEM,-0.040072469319389736,-0.4358648975043517
ZAF,4.239758297468455,2.7953855771980445
